target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,train_auroc,val_auroc,test_auroc
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,0,0.7956461310386658,0.8196526765823364,0.7761279344558716
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,1,0.8283306360244751,0.8052486181259155,0.7601370811462402
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,2,0.7958704829216003,0.8293212652206421,0.7435750961303711
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,3,0.8108210563659668,0.8111681342124939,0.7624214887619019
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,4,0.8236371278762817,0.8149170875549316,0.7669903039932251
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_slidewise,0,0.772773027420044,0.7995264530181885,0.7938320636749268
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_slidewise,1,0.7940452098846436,0.7780189514160156,0.7521415948867798
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_slidewise,2,0.79090416431427,0.7764403820037842,0.737293004989624
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_slidewise,3,0.8158752918243408,0.813338577747345,0.8075385093688965
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_slidewise,4,0.8004729747772217,0.7707182168960571,0.7275842428207397
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,all,0,0.8349766731262207,0.7995264530181885,0.7487150430679321
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,all,1,0.8120489716529846,0.8237963914871216,0.7401484847068787
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,all,2,0.7300102710723877,0.7934095859527588,0.6379212141036987
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,all,3,0.8382511138916016,0.7991318106651306,0.7470017671585083
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,all,4,0.7197623252868652,0.7638121843338013,0.5928040742874146
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,0,0.7761688232421875,0.6617008447647095,0.7235865592956543
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,1,0.8296737670898438,0.8285319805145264,0.7441462278366089
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,2,0.8476927280426025,0.795777440071106,0.7144489288330078
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,3,0.8368140459060669,0.8391870856285095,0.8058252334594727
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,4,0.8525862693786621,0.8180742263793945,0.7675614356994629
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,simple_rotate,0,0.815523624420166,0.8271507024765015,0.7955453395843506
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,simple_rotate,1,0.7962585687637329,0.8241909742355347,0.7475727796554565
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,simple_rotate,2,0.8382086753845215,0.8245856761932373,0.7909765839576721
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,simple_rotate,3,0.8417924642562866,0.8314917087554932,0.7978297472000122
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,simple_rotate,4,0.7755503058433533,0.7981451749801636,0.7544260025024414
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,0,0.8161118030548096,0.8058405518531799,0.8166762590408325
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,1,0.8290582895278931,0.8042620420455933,0.7812678813934326
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,2,0.8294039368629456,0.8314917087554932,0.8063963651657104
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,3,0.8039536476135254,0.788673996925354,0.7818390130996704
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,4,0.8465769290924072,0.7923243641853333,0.7195887565612793
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_slidewise,0,0.7933357357978821,0.8030781745910645,0.7778412103652954
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_slidewise,1,0.6852222681045532,0.7707182168960571,0.6893203854560852
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_slidewise,2,0.8205385208129883,0.80889892578125,0.7669903039932251
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_slidewise,3,0.8496876955032349,0.7955801486968994,0.8192461133003235
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_slidewise,4,0.8148869276046753,0.7717047929763794,0.7858366370201111
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,0,0.8721969127655029,0.8230071067810059,0.8103940486907959
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,1,0.8650658130645752,0.7946921586990356,0.7744145393371582
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,2,0.8008670806884766,0.8212313055992126,0.7641347646713257
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,3,0.8761809468269348,0.7944948673248291,0.8001142144203186
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,4,0.8743617534637451,0.7690410017967224,0.7892632484436035
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,0,0.8547389507293701,0.8289265632629395,0.8195316791534424
