feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,high,PIK3CA,0.0036150217
swin,AttentionMIL,high,PIK3CA,-0.025252521
swin,AttentionMIL,high,PIK3CA,-0.00083339214
swin,AttentionMIL,high,PIK3CA,-0.054222226
swin,AttentionMIL,high,PIK3CA,0.060150385
swin,AttentionMIL,high,PIK3CA,-0.03367001
swin,AttentionMIL,high,PIK3CA,0.033142865
swin,AttentionMIL,high,PIK3CA,0.029461265
swin,AttentionMIL,high,PIK3CA,-0.025142908
swin,AttentionMIL,high,PIK3CA,0.0
swin,AttentionMIL,high,PIK3CA,-0.0503394
swin,AttentionMIL,high,PIK3CA,0.008101881
swin,AttentionMIL,high,PIK3CA,-0.047228456
swin,AttentionMIL,high,PIK3CA,0.05571425
swin,AttentionMIL,high,PIK3CA,-0.0042625666
swin,AttentionMIL,high,PIK3CA,-0.008354247
swin,AttentionMIL,high,PIK3CA,-0.0045303702
swin,AttentionMIL,high,PIK3CA,0.024130106
swin,AttentionMIL,high,PIK3CA,-0.019095242
swin,AttentionMIL,high,PIK3CA,0.05571264
swin,AttentionMIL,high,PIK3CA,0.008857131
swin,AttentionMIL,high,PIK3CA,0.0064629912
swin,AttentionMIL,high,PIK3CA,0.033750057
swin,AttentionMIL,high,PIK3CA,0.008101881
swin,AttentionMIL,high,PIK3CA,-0.03779483
swin,AttentionMIL,high,PIK3CA,0.037541747
swin,AttentionMIL,high,PIK3CA,0.022446752
swin,AttentionMIL,high,PIK3CA,0.011944413
swin,AttentionMIL,high,PIK3CA,0.003851831
swin,AttentionMIL,high,PIK3CA,0.030075192
swin,AttentionMIL,high,PIK3CA,0.06088662
swin,AttentionMIL,high,PIK3CA,0.11400002
swin,AttentionMIL,high,PIK3CA,0.07435471
swin,AttentionMIL,high,PIK3CA,0.047142863
swin,AttentionMIL,high,PIK3CA,0.008296311
swin,AttentionMIL,high,PIK3CA,-0.011029422
swin,AttentionMIL,high,PIK3CA,0.06336808
swin,AttentionMIL,high,PIK3CA,0.019513488
swin,AttentionMIL,high,PIK3CA,0.08171427
swin,AttentionMIL,high,PIK3CA,0.123898864
swin,AttentionMIL,high,PIK3CA,-0.006404817
swin,AttentionMIL,high,PIK3CA,0.06463307
swin,AttentionMIL,high,PIK3CA,0.042087555
swin,AttentionMIL,high,PIK3CA,0.064923644
swin,AttentionMIL,high,PIK3CA,0.032805383
swin,AttentionMIL,high,PIK3CA,0.06514287
swin,AttentionMIL,high,PIK3CA,0.014688611
swin,AttentionMIL,high,PIK3CA,0.06999999
swin,AttentionMIL,high,PIK3CA,0.020544052
swin,AttentionMIL,high,PIK3CA,-0.006820202
swin,AttentionMIL,high,PIK3CA,0.0647943
swin,AttentionMIL,high,PIK3CA,0.0765993
swin,AttentionMIL,high,PIK3CA,0.03805554
swin,AttentionMIL,high,PIK3CA,0.03614819
swin,AttentionMIL,high,PIK3CA,-0.022556305
swin,AttentionMIL,high,PIK3CA,-0.014590383
swin,AttentionMIL,high,PIK3CA,0.06885713
swin,AttentionMIL,high,PIK3CA,0.041526318
swin,AttentionMIL,high,PIK3CA,0.0434286
swin,AttentionMIL,high,PIK3CA,0.058963
swin,AttentionMIL,high,PIK3CA,0.02375567
swin,AttentionMIL,high,PIK3CA,0.048611045
swin,AttentionMIL,high,PIK3CA,0.09191179
swin,AttentionMIL,high,PIK3CA,0.040285766
swin,AttentionMIL,high,PIK3CA,-0.029838026
swin,AttentionMIL,high,PIK3CA,0.0038986206
swin,AttentionMIL,high,PIK3CA,0.0365448
swin,AttentionMIL,high,PIK3CA,0.019921422
swin,AttentionMIL,high,PIK3CA,0.09283197
swin,AttentionMIL,high,PIK3CA,0.044966042
swin,AttentionMIL,high,PIK3CA,0.10628569
swin,AttentionMIL,high,PIK3CA,0.0
swin,AttentionMIL,high,PIK3CA,0.04124999
swin,AttentionMIL,high,PIK3CA,0.046006918
swin,AttentionMIL,high,PIK3CA,0.039784074
swin,AttentionMIL,high,PIK3CA,0.12875408
swin,AttentionMIL,high,PIK3CA,0.14618409
swin,AttentionMIL,high,PIK3CA,0.026944399
swin,AttentionMIL,high,PIK3CA,0.05125934
swin,AttentionMIL,high,PIK3CA,0.05764413
swin,AttentionMIL,high,PIK3CA,0.09764308
swin,AttentionMIL,high,PIK3CA,0.089428544
swin,AttentionMIL,high,PIK3CA,0.06369257
swin,AttentionMIL,high,PIK3CA,0.0031428933
swin,AttentionMIL,high,PIK3CA,0.08533335
swin,AttentionMIL,high,PIK3CA,0.022058845
swin,AttentionMIL,high,PIK3CA,0.092303306
swin,AttentionMIL,high,PIK3CA,-0.0016967058
swin,AttentionMIL,high,PIK3CA,0.06285715
swin,AttentionMIL,high,PIK3CA,0.1113953
swin,AttentionMIL,high,PIK3CA,0.05012542
swin,AttentionMIL,high,PIK3CA,0.046813607
swin,AttentionMIL,high,PIK3CA,0.057239056
swin,AttentionMIL,high,PIK3CA,0.0869565
swin,AttentionMIL,high,PIK3CA,0.0772059
swin,AttentionMIL,high,PIK3CA,0.034857154
swin,AttentionMIL,high,PIK3CA,-0.019095182
swin,AttentionMIL,high,PIK3CA,0.1303125
swin,AttentionMIL,high,PIK3CA,0.06597221
swin,AttentionMIL,high,PIK3CA,0.017902851
swin,AttentionMIL,high,PIK3CA,0.025862038
swin,AttentionMIL,high,PIK3CA,0.0011222959
swin,AttentionMIL,high,PIK3CA,0.0016666055
swin,AttentionMIL,high,PIK3CA,-0.017481506
swin,AttentionMIL,high,PIK3CA,0.049846888
swin,AttentionMIL,high,PIK3CA,0.009259343
swin,AttentionMIL,high,PIK3CA,0.020285785
swin,AttentionMIL,high,PIK3CA,0.08417499
swin,AttentionMIL,high,PIK3CA,0.02171433
swin,AttentionMIL,high,PIK3CA,-0.012148142
swin,AttentionMIL,high,PIK3CA,-0.016685486
swin,AttentionMIL,high,PIK3CA,0.044270873
swin,AttentionMIL,high,PIK3CA,-0.055995524
swin,AttentionMIL,high,PIK3CA,0.06971431
swin,AttentionMIL,high,PIK3CA,0.02784884
swin,AttentionMIL,high,PIK3CA,-0.022556424
swin,AttentionMIL,high,PIK3CA,0.006040454
swin,AttentionMIL,high,PIK3CA,0.03535354
swin,AttentionMIL,high,PIK3CA,0.014688551
swin,AttentionMIL,high,PIK3CA,0.0070701838
swin,AttentionMIL,high,PIK3CA,0.058857083
