feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,CDH1,0.018238664
swin,AttentionMIL,low,CDH1,-0.101500034
swin,AttentionMIL,low,CDH1,-0.014150977
swin,AttentionMIL,low,CDH1,-0.029868603
swin,AttentionMIL,low,CDH1,0.040548265
swin,AttentionMIL,low,CDH1,-0.144
swin,AttentionMIL,low,CDH1,0.02835697
swin,AttentionMIL,low,CDH1,0.051818132
swin,AttentionMIL,low,CDH1,0.009259224
swin,AttentionMIL,low,CDH1,-0.1273585
swin,AttentionMIL,low,CDH1,0.029181898
swin,AttentionMIL,low,CDH1,-0.10457516
swin,AttentionMIL,low,CDH1,-0.03682542
swin,AttentionMIL,low,CDH1,0.028357029
swin,AttentionMIL,low,CDH1,0.04184705
swin,AttentionMIL,low,CDH1,-0.010757476
swin,AttentionMIL,low,CDH1,-0.0031266212
swin,AttentionMIL,low,CDH1,-0.013333321
swin,AttentionMIL,low,CDH1,0.046495914
swin,AttentionMIL,low,CDH1,0.05248016
swin,AttentionMIL,low,CDH1,0.07138783
swin,AttentionMIL,low,CDH1,-0.10147369
swin,AttentionMIL,low,CDH1,-0.07150006
swin,AttentionMIL,low,CDH1,0.00999999
swin,AttentionMIL,low,CDH1,0.018028885
swin,AttentionMIL,low,CDH1,-0.14330381
swin,AttentionMIL,low,CDH1,-0.1365
swin,AttentionMIL,low,CDH1,-0.088948786
swin,AttentionMIL,low,CDH1,-0.16646755
swin,AttentionMIL,low,CDH1,-0.08452311
swin,AttentionMIL,low,CDH1,-0.17250001
swin,AttentionMIL,low,CDH1,-0.12176812
swin,AttentionMIL,low,CDH1,-0.12545455
swin,AttentionMIL,low,CDH1,-0.125
swin,AttentionMIL,low,CDH1,-0.13409704
swin,AttentionMIL,low,CDH1,-0.16154248
swin,AttentionMIL,low,CDH1,-0.24455333
swin,AttentionMIL,low,CDH1,-0.120000064
swin,AttentionMIL,low,CDH1,-0.14845699
swin,AttentionMIL,low,CDH1,-0.23328531
swin,AttentionMIL,low,CDH1,-0.09009412
swin,AttentionMIL,low,CDH1,-0.0739969
swin,AttentionMIL,low,CDH1,-0.10285711
swin,AttentionMIL,low,CDH1,-0.2190026
swin,AttentionMIL,low,CDH1,-0.13587356
swin,AttentionMIL,low,CDH1,-0.09651619
swin,AttentionMIL,low,CDH1,-0.11199999
swin,AttentionMIL,low,CDH1,-0.07099998
swin,AttentionMIL,low,CDH1,-0.094500005
swin,AttentionMIL,low,CDH1,-0.13762021
swin,AttentionMIL,low,CDH1,-0.048983872
swin,AttentionMIL,low,CDH1,-0.09649998
swin,AttentionMIL,low,CDH1,-0.029649615
swin,AttentionMIL,low,CDH1,-0.067702055
swin,AttentionMIL,low,CDH1,-0.07424331
swin,AttentionMIL,low,CDH1,-0.11950007
swin,AttentionMIL,low,CDH1,-0.042535424
swin,AttentionMIL,low,CDH1,-0.051818132
swin,AttentionMIL,low,CDH1,-0.10262346
swin,AttentionMIL,low,CDH1,-0.06401622
swin,AttentionMIL,low,CDH1,-0.06930691
swin,AttentionMIL,low,CDH1,-0.14651418
swin,AttentionMIL,low,CDH1,-0.03682542
swin,AttentionMIL,low,CDH1,-0.06505418
swin,AttentionMIL,low,CDH1,-0.12650311
swin,AttentionMIL,low,CDH1,-0.04796055
swin,AttentionMIL,low,CDH1,-0.047941566
swin,AttentionMIL,low,CDH1,-0.037460327
swin,AttentionMIL,low,CDH1,-0.107142866
swin,AttentionMIL,low,CDH1,-0.027318478
swin,AttentionMIL,low,CDH1,-0.024557352
swin,AttentionMIL,low,CDH1,-0.033684254
swin,AttentionMIL,low,CDH1,-0.044499993
swin,AttentionMIL,low,CDH1,-0.008500099
swin,AttentionMIL,low,CDH1,-0.055889428
swin,AttentionMIL,low,CDH1,0.015633225
swin,AttentionMIL,low,CDH1,-0.040499985
swin,AttentionMIL,low,CDH1,0.03571427
swin,AttentionMIL,low,CDH1,-0.03066504
swin,AttentionMIL,low,CDH1,-0.0513992
swin,AttentionMIL,low,CDH1,-0.10499996
swin,AttentionMIL,low,CDH1,-0.0033361316
swin,AttentionMIL,low,CDH1,0.099090934
swin,AttentionMIL,low,CDH1,0.064043224
swin,AttentionMIL,low,CDH1,-0.01886797
swin,AttentionMIL,low,CDH1,0.030224085
swin,AttentionMIL,low,CDH1,0.005446613
swin,AttentionMIL,low,CDH1,-0.08317459
swin,AttentionMIL,low,CDH1,-0.013344526
swin,AttentionMIL,low,CDH1,0.046176016
swin,AttentionMIL,low,CDH1,-0.05199462
swin,AttentionMIL,low,CDH1,-0.055237174
swin,AttentionMIL,low,CDH1,-0.05460316
swin,AttentionMIL,low,CDH1,0.006738484
swin,AttentionMIL,low,CDH1,0.05751258
swin,AttentionMIL,low,CDH1,0.056539178
swin,AttentionMIL,low,CDH1,-0.06736833
swin,AttentionMIL,low,CDH1,-0.0855
swin,AttentionMIL,low,CDH1,0.031999975
swin,AttentionMIL,low,CDH1,-0.051081717
swin,AttentionMIL,low,CDH1,-0.01771754
swin,AttentionMIL,low,CDH1,-0.13699996
swin,AttentionMIL,low,CDH1,0.011455476
swin,AttentionMIL,low,CDH1,-0.044205546
swin,AttentionMIL,low,CDH1,-0.008566558
swin,AttentionMIL,low,CDH1,-0.1315
swin,AttentionMIL,low,CDH1,0.000834018
swin,AttentionMIL,low,CDH1,0.03181815
swin,AttentionMIL,low,CDH1,-0.0038580298
swin,AttentionMIL,low,CDH1,-0.12870622
swin,AttentionMIL,low,CDH1,-0.0046899915
swin,AttentionMIL,low,CDH1,-0.13344228
swin,AttentionMIL,low,CDH1,-0.005714178
swin,AttentionMIL,low,CDH1,-0.0316931
swin,AttentionMIL,low,CDH1,-0.068302035
swin,AttentionMIL,low,CDH1,0.00582698
swin,AttentionMIL,low,CDH1,0.0020843744
swin,AttentionMIL,low,CDH1,-0.021587312
swin,AttentionMIL,low,CDH1,-0.043800473
swin,AttentionMIL,low,CDH1,0.0093458295
swin,AttentionMIL,low,CDH1,0.029126167
swin,AttentionMIL,low,CDH1,-0.03873688
swin,AttentionMIL,low,CDH1,-0.045000017
swin,AttentionMIL,low,CDH1,0.039499998
swin,AttentionMIL,low,CDH1,-0.019230753
swin,AttentionMIL,low,MSI,0.03699994
swin,AttentionMIL,low,MSI,0.0514403
swin,AttentionMIL,low,MSI,0.07758629
swin,AttentionMIL,low,MSI,0.05629623
swin,AttentionMIL,low,MSI,0.022232234
swin,AttentionMIL,low,MSI,0.09126985
swin,AttentionMIL,low,MSI,0.05911112
swin,AttentionMIL,low,MSI,0.051270485
swin,AttentionMIL,low,MSI,0.06425941
swin,AttentionMIL,low,MSI,0.062222242
swin,AttentionMIL,low,MSI,0.10102743
swin,AttentionMIL,low,MSI,0.026470602
swin,AttentionMIL,low,MSI,0.07794273
swin,AttentionMIL,low,MSI,0.01971513
swin,AttentionMIL,low,MSI,0.09914327
swin,AttentionMIL,low,MSI,0.08812612
swin,AttentionMIL,low,MSI,0.111585915
swin,AttentionMIL,low,MSI,0.017625213
swin,AttentionMIL,low,MSI,0.022633791
swin,AttentionMIL,low,MSI,0.05606991
swin,AttentionMIL,low,MSI,-0.026315808
swin,AttentionMIL,low,MSI,0.11830574
swin,AttentionMIL,low,MSI,0.10235286
swin,AttentionMIL,low,MSI,0.05444652
swin,AttentionMIL,low,MSI,0.071499944
swin,AttentionMIL,low,MSI,-0.17150003
swin,AttentionMIL,low,MSI,-0.16563779
swin,AttentionMIL,low,MSI,-0.06442833
swin,AttentionMIL,low,MSI,-0.037777722
swin,AttentionMIL,low,MSI,-0.20417416
swin,AttentionMIL,low,MSI,-0.049319685
swin,AttentionMIL,low,MSI,-0.107111156
swin,AttentionMIL,low,MSI,-0.011343002
swin,AttentionMIL,low,MSI,-0.24418604
swin,AttentionMIL,low,MSI,-0.08088893
swin,AttentionMIL,low,MSI,-0.09289384
swin,AttentionMIL,low,MSI,-0.14999998
swin,AttentionMIL,low,MSI,-0.21845174
swin,AttentionMIL,low,MSI,-0.11829138
swin,AttentionMIL,low,MSI,-0.07588744
swin,AttentionMIL,low,MSI,-0.028293252
swin,AttentionMIL,low,MSI,-0.10683751
swin,AttentionMIL,low,MSI,-0.10992581
swin,AttentionMIL,low,MSI,-0.23045272
swin,AttentionMIL,low,MSI,-0.17335391
swin,AttentionMIL,low,MSI,-0.05580759
swin,AttentionMIL,low,MSI,-0.13875365
swin,AttentionMIL,low,MSI,-0.1611765
swin,AttentionMIL,low,MSI,-0.23321235
swin,AttentionMIL,low,MSI,-0.091500044
swin,AttentionMIL,low,MSI,-0.08850002
swin,AttentionMIL,low,MSI,-0.023662508
swin,AttentionMIL,low,MSI,-0.039019942
swin,AttentionMIL,low,MSI,-0.034814835
swin,AttentionMIL,low,MSI,-0.03539014
swin,AttentionMIL,low,MSI,0.013038576
swin,AttentionMIL,low,MSI,-0.0071110725
swin,AttentionMIL,low,MSI,-0.0068058968
swin,AttentionMIL,low,MSI,0.0018360019
swin,AttentionMIL,low,MSI,0.008000016
swin,AttentionMIL,low,MSI,0.009845853
swin,AttentionMIL,low,MSI,0.006470561
swin,AttentionMIL,low,MSI,0.007423103
swin,AttentionMIL,low,MSI,-0.012595832
swin,AttentionMIL,low,MSI,-0.00917995
swin,AttentionMIL,low,MSI,-0.035250425
swin,AttentionMIL,low,MSI,-0.013295293
swin,AttentionMIL,low,MSI,0.011595488
swin,AttentionMIL,low,MSI,-0.0138888955
