feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,CDH1,0.014069796
swin,AttentionMIL,low,CDH1,0.017500043
swin,AttentionMIL,low,CDH1,0.0067385435
swin,AttentionMIL,low,CDH1,0.026682615
swin,AttentionMIL,low,CDH1,0.091376364
swin,AttentionMIL,low,CDH1,0.04100001
swin,AttentionMIL,low,CDH1,0.033361137
swin,AttentionMIL,low,CDH1,0.024545431
swin,AttentionMIL,low,CDH1,0.0077160597
swin,AttentionMIL,low,CDH1,-0.0033692718
swin,AttentionMIL,low,CDH1,0.011464417
swin,AttentionMIL,low,CDH1,0.018518507
swin,AttentionMIL,low,CDH1,0.03619051
swin,AttentionMIL,low,CDH1,0.07172644
swin,AttentionMIL,low,CDH1,0.06493509
swin,AttentionMIL,low,CDH1,0.012998611
swin,AttentionMIL,low,CDH1,0.051068306
swin,AttentionMIL,low,CDH1,0.04063493
swin,AttentionMIL,low,CDH1,0.07681942
swin,AttentionMIL,low,CDH1,0.026599526
swin,AttentionMIL,low,CDH1,0.037121713
swin,AttentionMIL,low,CDH1,-0.01936841
swin,AttentionMIL,low,CDH1,0.011500001
swin,AttentionMIL,low,CDH1,0.01699996
swin,AttentionMIL,low,CDH1,0.050480783
swin,AttentionMIL,low,CDH1,-0.045336187
swin,AttentionMIL,low,CDH1,-0.051499963
swin,AttentionMIL,low,CDH1,0.008086264
swin,AttentionMIL,low,CDH1,-0.031461596
swin,AttentionMIL,low,CDH1,0.034266174
swin,AttentionMIL,low,CDH1,-0.049000025
swin,AttentionMIL,low,CDH1,-0.035029173
swin,AttentionMIL,low,CDH1,-0.03181821
swin,AttentionMIL,low,CDH1,-0.02314812
swin,AttentionMIL,low,CDH1,-0.06334227
swin,AttentionMIL,low,CDH1,-0.09848881
swin,AttentionMIL,low,CDH1,-0.1094771
swin,AttentionMIL,low,CDH1,0.012063384
swin,AttentionMIL,low,CDH1,-0.026688814
swin,AttentionMIL,low,CDH1,-0.066859126
swin,AttentionMIL,low,CDH1,0.014791578
swin,AttentionMIL,low,CDH1,0.0474205
swin,AttentionMIL,low,CDH1,0.017142892
swin,AttentionMIL,low,CDH1,-0.049191356
swin,AttentionMIL,low,CDH1,-0.00503242
swin,AttentionMIL,low,CDH1,-0.02398628
swin,AttentionMIL,low,CDH1,-0.025684237
swin,AttentionMIL,low,CDH1,0.031499982
swin,AttentionMIL,low,CDH1,-0.023000002
swin,AttentionMIL,low,CDH1,-0.05649042
swin,AttentionMIL,low,CDH1,0.001563251
swin,AttentionMIL,low,CDH1,0.08200002
swin,AttentionMIL,low,CDH1,0.008760095
swin,AttentionMIL,low,CDH1,0.04101956
swin,AttentionMIL,low,CDH1,0.0022844076
swin,AttentionMIL,low,CDH1,0.089999974
swin,AttentionMIL,low,CDH1,0.042535454
swin,AttentionMIL,low,CDH1,-0.012727261
swin,AttentionMIL,low,CDH1,-0.03472221
swin,AttentionMIL,low,CDH1,0.07075465
swin,AttentionMIL,low,CDH1,0.030745208
swin,AttentionMIL,low,CDH1,0.07135075
swin,AttentionMIL,low,CDH1,0.050793648
swin,AttentionMIL,low,CDH1,0.007506311
swin,AttentionMIL,low,CDH1,0.025012016
swin,AttentionMIL,low,CDH1,-0.013895094
swin,AttentionMIL,low,CDH1,0.037519574
swin,AttentionMIL,low,CDH1,0.015873015
swin,AttentionMIL,low,CDH1,0.02156341
swin,AttentionMIL,low,CDH1,-0.0050322413
swin,AttentionMIL,low,CDH1,-0.011422038
swin,AttentionMIL,low,CDH1,0.06231582
swin,AttentionMIL,low,CDH1,0.053000033
swin,AttentionMIL,low,CDH1,0.027999997
swin,AttentionMIL,low,CDH1,0.019831717
swin,AttentionMIL,low,CDH1,0.05888486
swin,AttentionMIL,low,CDH1,0.06650001
swin,AttentionMIL,low,CDH1,0.066037655
swin,AttentionMIL,low,CDH1,0.07964957
swin,AttentionMIL,low,CDH1,0.046259254
swin,AttentionMIL,low,CDH1,0.043500006
