feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,CDH1,0.05315268
swin,AttentionMIL,low,CDH1,0.065999985
swin,AttentionMIL,low,CDH1,0.07749319
swin,AttentionMIL,low,CDH1,0.07487059
swin,AttentionMIL,low,CDH1,0.11936033
swin,AttentionMIL,low,CDH1,0.078999996
swin,AttentionMIL,low,CDH1,0.110925734
swin,AttentionMIL,low,CDH1,0.03999996
swin,AttentionMIL,low,CDH1,0.09876537
swin,AttentionMIL,low,CDH1,0.0909704
swin,AttentionMIL,low,CDH1,0.1120376
swin,AttentionMIL,low,CDH1,0.14760351
swin,AttentionMIL,low,CDH1,0.043809593
swin,AttentionMIL,low,CDH1,0.08507097
swin,AttentionMIL,low,CDH1,0.11495912
swin,AttentionMIL,low,CDH1,0.047512323
swin,AttentionMIL,low,CDH1,0.04273057
swin,AttentionMIL,low,CDH1,0.052698433
swin,AttentionMIL,low,CDH1,0.104447484
swin,AttentionMIL,low,CDH1,0.027318358
swin,AttentionMIL,low,CDH1,0.082809746
swin,AttentionMIL,low,CDH1,-0.00757885
swin,AttentionMIL,low,CDH1,0.040499985
swin,AttentionMIL,low,CDH1,0.07550001
swin,AttentionMIL,low,CDH1,0.08293268
swin,AttentionMIL,low,CDH1,-0.049504995
swin,AttentionMIL,low,CDH1,-0.087499976
swin,AttentionMIL,low,CDH1,-0.0080862045
swin,AttentionMIL,low,CDH1,-0.029470384
swin,AttentionMIL,low,CDH1,0.022273004
swin,AttentionMIL,low,CDH1,-0.094500005
swin,AttentionMIL,low,CDH1,-0.053377777
swin,AttentionMIL,low,CDH1,-0.047272682
swin,AttentionMIL,low,CDH1,-0.04243827
swin,AttentionMIL,low,CDH1,-0.07614553
swin,AttentionMIL,low,CDH1,-0.09119338
swin,AttentionMIL,low,CDH1,-0.099128485
swin,AttentionMIL,low,CDH1,-0.0069841743
swin,AttentionMIL,low,CDH1,-0.050875664
swin,AttentionMIL,low,CDH1,-0.078884184
swin,AttentionMIL,low,CDH1,0.010309309
swin,AttentionMIL,low,CDH1,-0.022928655
swin,AttentionMIL,low,CDH1,0.010158718
swin,AttentionMIL,low,CDH1,-0.084905624
swin,AttentionMIL,low,CDH1,-0.010783672
swin,AttentionMIL,low,CDH1,-0.01199311
swin,AttentionMIL,low,CDH1,-0.06863165
swin,AttentionMIL,low,CDH1,-0.0009999871
swin,AttentionMIL,low,CDH1,-0.03999999
swin,AttentionMIL,low,CDH1,-0.054086566
swin,AttentionMIL,low,CDH1,0.030745149
swin,AttentionMIL,low,CDH1,0.037500024
swin,AttentionMIL,low,CDH1,0.0080862045
swin,AttentionMIL,low,CDH1,0.05336523
swin,AttentionMIL,low,CDH1,0.013135314
swin,AttentionMIL,low,CDH1,0.05249995
swin,AttentionMIL,low,CDH1,0.094245255
swin,AttentionMIL,low,CDH1,0.02181822
swin,AttentionMIL,low,CDH1,0.037037015
swin,AttentionMIL,low,CDH1,0.0053907633
swin,AttentionMIL,low,CDH1,0.07503909
swin,AttentionMIL,low,CDH1,0.072984695
swin,AttentionMIL,low,CDH1,0.029206276
swin,AttentionMIL,low,CDH1,0.0050042868
swin,AttentionMIL,low,CDH1,0.06156814
swin,AttentionMIL,low,CDH1,0.0121022165
swin,AttentionMIL,low,CDH1,0.038040698
swin,AttentionMIL,low,CDH1,0.015873015
swin,AttentionMIL,low,CDH1,0.053908348
swin,AttentionMIL,low,CDH1,-0.00934577
swin,AttentionMIL,low,CDH1,-0.053112507
swin,AttentionMIL,low,CDH1,0.022736788
