feature_extractor,model,target,auroc_diff
ctranspath,Transformer,CDH1,-0.004168868
ctranspath,Transformer,CDH1,0.060499966
ctranspath,Transformer,CDH1,-0.014150977
ctranspath,Transformer,CDH1,0.007168412
ctranspath,Transformer,CDH1,0.03026843
ctranspath,Transformer,CDH1,0.051
ctranspath,Transformer,CDH1,-0.046705544
ctranspath,Transformer,CDH1,-0.047272682
ctranspath,Transformer,CDH1,0.041666627
ctranspath,Transformer,CDH1,0.08962262
ctranspath,Transformer,CDH1,-0.019801974
ctranspath,Transformer,CDH1,-0.025054455
ctranspath,Transformer,CDH1,0.020317495
ctranspath,Transformer,CDH1,-0.020850658
ctranspath,Transformer,CDH1,-0.014430046
ctranspath,Transformer,CDH1,0.017929196
ctranspath,Transformer,CDH1,0.05315268
ctranspath,Transformer,CDH1,0.13587296
ctranspath,Transformer,CDH1,0.014150858
ctranspath,Transformer,CDH1,0.08123654
ctranspath,Transformer,CDH1,0.027984023
ctranspath,Transformer,CDH1,0.007157922
ctranspath,Transformer,CDH1,0.087499976
ctranspath,Transformer,CDH1,-0.033499956
ctranspath,Transformer,CDH1,0.05649042
ctranspath,Transformer,CDH1,0.039082885
ctranspath,Transformer,CDH1,-0.015500009
ctranspath,Transformer,CDH1,0.01886779
ctranspath,Transformer,CDH1,-0.06929505
ctranspath,Transformer,CDH1,-0.04740143
ctranspath,Transformer,CDH1,-0.0539999
ctranspath,Transformer,CDH1,0.007506311
ctranspath,Transformer,CDH1,0.03636372
ctranspath,Transformer,CDH1,0.049382687
ctranspath,Transformer,CDH1,0.07075471
ctranspath,Transformer,CDH1,-0.004168868
ctranspath,Transformer,CDH1,-0.07135081
ctranspath,Transformer,CDH1,-0.015238047
ctranspath,Transformer,CDH1,0.0066722035
ctranspath,Transformer,CDH1,-0.05242902
ctranspath,Transformer,CDH1,-0.027790189
ctranspath,Transformer,CDH1,0.03387189
ctranspath,Transformer,CDH1,0.12571424
ctranspath,Transformer,CDH1,0.050539017
ctranspath,Transformer,CDH1,0.10927391
ctranspath,Transformer,CDH1,0.07709879
ctranspath,Transformer,CDH1,0.034947395
ctranspath,Transformer,CDH1,0.054999948
ctranspath,Transformer,CDH1,0.009499967
ctranspath,Transformer,CDH1,0.08533651
ctranspath,Transformer,CDH1,-0.08233452
ctranspath,Transformer,CDH1,-0.089999974
ctranspath,Transformer,CDH1,-0.13274932
ctranspath,Transformer,CDH1,-0.080844164
ctranspath,Transformer,CDH1,-0.0508281
ctranspath,Transformer,CDH1,-0.082999945
ctranspath,Transformer,CDH1,-0.18181825
ctranspath,Transformer,CDH1,-0.110909104
ctranspath,Transformer,CDH1,-0.08487654
ctranspath,Transformer,CDH1,-0.17183286
ctranspath,Transformer,CDH1,-0.15841591
ctranspath,Transformer,CDH1,-0.123093784
ctranspath,Transformer,CDH1,-0.07365084
ctranspath,Transformer,CDH1,-0.08340281
ctranspath,Transformer,CDH1,-0.090427995
ctranspath,Transformer,CDH1,0.0022411942
ctranspath,Transformer,CDH1,-0.052110493
ctranspath,Transformer,CDH1,0.0057142973
ctranspath,Transformer,CDH1,-0.09703517
ctranspath,Transformer,CDH1,-0.10927391
ctranspath,Transformer,CDH1,-0.13135356
ctranspath,Transformer,CDH1,-0.12547362
ctranspath,Transformer,CDH1,-0.09099996
ctranspath,Transformer,CDH1,-0.18
ctranspath,Transformer,CDH1,-0.019230783
ctranspath,Transformer,CDH1,-0.20687866
ctranspath,Transformer,CDH1,-0.049000025
ctranspath,Transformer,CDH1,0.031671166
ctranspath,Transformer,CDH1,-0.08960569
ctranspath,Transformer,CDH1,0.02398622
ctranspath,Transformer,CDH1,-0.05699998
ctranspath,Transformer,CDH1,-0.06922436
ctranspath,Transformer,CDH1,-0.01272738
ctranspath,Transformer,CDH1,0.020061672
ctranspath,Transformer,CDH1,-0.23719674
ctranspath,Transformer,CDH1,-0.09640437
ctranspath,Transformer,CDH1,-0.05610019
ctranspath,Transformer,CDH1,0.05904758
ctranspath,Transformer,CDH1,-0.17014182
ctranspath,Transformer,CDH1,-0.1948052
ctranspath,Transformer,CDH1,-0.04482293
ctranspath,Transformer,CDH1,0.1036998
ctranspath,Transformer,CDH1,-0.14222217
ctranspath,Transformer,CDH1,-0.12668467
ctranspath,Transformer,CDH1,-0.000718832
ctranspath,Transformer,CDH1,-0.019988656
ctranspath,Transformer,CDH1,0.018947423
ctranspath,Transformer,CDH1,0.1135
ctranspath,Transformer,CDH1,-0.017499983
ctranspath,Transformer,CDH1,-0.15745199
ctranspath,Transformer,CDH1,-0.05002606
ctranspath,Transformer,CDH1,-0.15799999
ctranspath,Transformer,CDH1,-0.066711605
ctranspath,Transformer,CDH1,-0.054958165
ctranspath,Transformer,CDH1,-0.04797256
ctranspath,Transformer,CDH1,-0.009499967
ctranspath,Transformer,CDH1,0.08006668
ctranspath,Transformer,CDH1,-0.1618182
ctranspath,Transformer,CDH1,-0.021604896
ctranspath,Transformer,CDH1,-0.1657682
ctranspath,Transformer,CDH1,-0.046899438
ctranspath,Transformer,CDH1,-0.13235289
