magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.006253302
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.023999989
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.048517585
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.04579842
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.06396341
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.09200001
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013344526
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.03909093
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.06558639
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0074124336
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.018238723
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.010893226
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.11428571
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.009174347
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0024049878
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.09054232
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.054194927
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.106031775
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.017520249
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.010783672
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.042832613
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.067789555
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.084499955
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0065000653
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.091346145
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.08233452
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.037500024
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.034366548
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.019912422
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01770413
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.009000063
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01584649
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.009090841
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07793212
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.13948792
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04585713
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04193908
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.062552094
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01010102
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05647683
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.055237055
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.08634919
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.029649615
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.08986342
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.06396347
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.07031584
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.050500035
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.005499959
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.022235572
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03699845
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05100006
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01954186
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0127440095
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015990913
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0015000105
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0008340478
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.00818181
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.030864239
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.046495974
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05471599
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.055555582
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04571426
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.005004227
