feature_extractor,model,target,auroc_diff
ctranspath,Transformer,TP53,-0.04599023
ctranspath,Transformer,TP53,-0.06850463
ctranspath,Transformer,TP53,-0.06349647
ctranspath,Transformer,TP53,-0.01157403
ctranspath,Transformer,TP53,-0.083704114
ctranspath,Transformer,TP53,0.009447098
ctranspath,Transformer,TP53,-0.071611226
ctranspath,Transformer,TP53,-0.032258153
ctranspath,Transformer,TP53,-0.0025253296
ctranspath,Transformer,TP53,-0.012276769
ctranspath,Transformer,TP53,-0.00056123734
ctranspath,Transformer,TP53,-0.06116718
ctranspath,Transformer,TP53,-0.020578384
ctranspath,Transformer,TP53,-0.04037875
ctranspath,Transformer,TP53,-0.017822385
ctranspath,Transformer,TP53,-0.14988685
ctranspath,Transformer,TP53,-0.09211719
ctranspath,Transformer,TP53,-0.039875627
ctranspath,Transformer,TP53,0.0079318285
ctranspath,Transformer,TP53,0.011259198
ctranspath,Transformer,TP53,-0.009447098
ctranspath,Transformer,TP53,-0.06279522
ctranspath,Transformer,TP53,-0.079571724
ctranspath,Transformer,TP53,-0.063703716
ctranspath,Transformer,TP53,-0.045200825
ctranspath,Transformer,TP53,0.032193065
ctranspath,Transformer,TP53,0.07212472
ctranspath,Transformer,TP53,-0.0078321695
ctranspath,Transformer,TP53,0.032118082
ctranspath,Transformer,TP53,0.018631756
ctranspath,Transformer,TP53,-0.018616319
ctranspath,Transformer,TP53,0.023302138
ctranspath,Transformer,TP53,0.07119012
ctranspath,Transformer,TP53,0.0709877
ctranspath,Transformer,TP53,0.107421935
ctranspath,Transformer,TP53,0.049102068
ctranspath,Transformer,TP53,0.02272731
ctranspath,Transformer,TP53,-0.021690786
ctranspath,Transformer,TP53,0.05569482
ctranspath,Transformer,TP53,-0.03842938
ctranspath,Transformer,TP53,-0.01696825
ctranspath,Transformer,TP53,-0.019933522
ctranspath,Transformer,TP53,0.030260086
ctranspath,Transformer,TP53,0.050528824
ctranspath,Transformer,TP53,0.04118514
ctranspath,Transformer,TP53,-0.00027793646
ctranspath,Transformer,TP53,-0.023617685
ctranspath,Transformer,TP53,0.041377246
ctranspath,Transformer,TP53,0.037037134
ctranspath,Transformer,TP53,0.022879481
ctranspath,Transformer,TP53,-0.022132754
ctranspath,Transformer,TP53,-0.016708493
ctranspath,Transformer,TP53,0.02965033
ctranspath,Transformer,TP53,-0.012442052
ctranspath,Transformer,TP53,-0.0027809143
ctranspath,Transformer,TP53,-0.039177656
ctranspath,Transformer,TP53,-0.021312892
ctranspath,Transformer,TP53,-0.007786453
ctranspath,Transformer,TP53,0.029461145
ctranspath,Transformer,TP53,0.00027900934
ctranspath,Transformer,TP53,-0.02581358
ctranspath,Transformer,TP53,0.007014632
ctranspath,Transformer,TP53,-0.010289252
ctranspath,Transformer,TP53,-0.010025084
ctranspath,Transformer,TP53,-0.024784207
ctranspath,Transformer,TP53,0.02177602
ctranspath,Transformer,TP53,0.010268807
ctranspath,Transformer,TP53,0.0062217116
ctranspath,Transformer,TP53,0.018507719
ctranspath,Transformer,TP53,0.029629588
ctranspath,Transformer,TP53,0.0058348775
ctranspath,Transformer,TP53,-0.015837789
ctranspath,Transformer,TP53,-0.0005786419
ctranspath,Transformer,TP53,-0.026074111
ctranspath,Transformer,TP53,-0.009207606
ctranspath,Transformer,TP53,-0.16067833
ctranspath,Transformer,TP53,-0.23252577
ctranspath,Transformer,TP53,-0.12895095
ctranspath,Transformer,TP53,-0.07725692
ctranspath,Transformer,TP53,-0.103726506
