feature_extractor,model,target,auroc_diff
ctranspath,Transformer,CDH1,-0.0057321787
ctranspath,Transformer,CDH1,0.0059999824
ctranspath,Transformer,CDH1,-0.07075477
ctranspath,Transformer,CDH1,-0.061728477
ctranspath,Transformer,CDH1,-0.089092016
ctranspath,Transformer,CDH1,-0.003000021
ctranspath,Transformer,CDH1,-0.12510431
ctranspath,Transformer,CDH1,-0.06545454
ctranspath,Transformer,CDH1,-0.17824084
ctranspath,Transformer,CDH1,0.0727762
ctranspath,Transformer,CDH1,-0.13861382
ctranspath,Transformer,CDH1,0.0038126707
ctranspath,Transformer,CDH1,-0.034285665
ctranspath,Transformer,CDH1,-0.122602105
ctranspath,Transformer,CDH1,-0.08273208
ctranspath,Transformer,CDH1,-0.08292246
ctranspath,Transformer,CDH1,-0.04116726
ctranspath,Transformer,CDH1,0.060317397
ctranspath,Transformer,CDH1,-0.09366584
ctranspath,Transformer,CDH1,0.025161743
ctranspath,Transformer,CDH1,-0.019988656
ctranspath,Transformer,CDH1,-0.0341053
ctranspath,Transformer,CDH1,-0.08200002
ctranspath,Transformer,CDH1,-0.011500001
ctranspath,Transformer,CDH1,-0.109375
ctranspath,Transformer,CDH1,0.0062532425
ctranspath,Transformer,CDH1,-0.024500012
ctranspath,Transformer,CDH1,-0.08018869
ctranspath,Transformer,CDH1,-0.039824784
ctranspath,Transformer,CDH1,-0.026270747
ctranspath,Transformer,CDH1,-0.013499916
ctranspath,Transformer,CDH1,-0.008340299
ctranspath,Transformer,CDH1,-0.055454493
ctranspath,Transformer,CDH1,0.0077159405
ctranspath,Transformer,CDH1,0.030997276
ctranspath,Transformer,CDH1,-0.046378314
ctranspath,Transformer,CDH1,0.021241724
ctranspath,Transformer,CDH1,-0.0355556
ctranspath,Transformer,CDH1,0.043369412
ctranspath,Transformer,CDH1,-0.08417517
ctranspath,Transformer,CDH1,0.026445627
ctranspath,Transformer,CDH1,-0.031787336
ctranspath,Transformer,CDH1,0.03999996
ctranspath,Transformer,CDH1,0.013477087
ctranspath,Transformer,CDH1,0.016534865
ctranspath,Transformer,CDH1,0.031981766
ctranspath,Transformer,CDH1,-0.034947395
ctranspath,Transformer,CDH1,-0.08850008
ctranspath,Transformer,CDH1,0.047500014
ctranspath,Transformer,CDH1,0.045673013
ctranspath,Transformer,CDH1,-0.021886349
ctranspath,Transformer,CDH1,-0.13949996
ctranspath,Transformer,CDH1,-0.13005394
ctranspath,Transformer,CDH1,-0.008363128
ctranspath,Transformer,CDH1,-0.051970363
ctranspath,Transformer,CDH1,0.039499998
ctranspath,Transformer,CDH1,-0.053377867
ctranspath,Transformer,CDH1,-0.09545457
ctranspath,Transformer,CDH1,-0.0069444776
ctranspath,Transformer,CDH1,-0.1266846
ctranspath,Transformer,CDH1,-0.106826544
ctranspath,Transformer,CDH1,-0.010893285
ctranspath,Transformer,CDH1,-0.08317459
ctranspath,Transformer,CDH1,0.070058405
ctranspath,Transformer,CDH1,-0.0076959133
ctranspath,Transformer,CDH1,0.033617258
ctranspath,Transformer,CDH1,-0.15633142
ctranspath,Transformer,CDH1,-0.13777775
ctranspath,Transformer,CDH1,-0.06132084
ctranspath,Transformer,CDH1,-0.20992088
ctranspath,Transformer,CDH1,-0.12964022
ctranspath,Transformer,CDH1,-0.06273687
ctranspath,Transformer,CDH1,-0.07949996
ctranspath,Transformer,CDH1,-0.06850004
ctranspath,Transformer,CDH1,0.0012019873
ctranspath,Transformer,CDH1,-0.20114654
ctranspath,Transformer,CDH1,-0.07000005
ctranspath,Transformer,CDH1,0.010107756
ctranspath,Transformer,CDH1,-0.07925129
ctranspath,Transformer,CDH1,-0.0017133951
ctranspath,Transformer,CDH1,-0.061500013
ctranspath,Transformer,CDH1,-0.035029233
ctranspath,Transformer,CDH1,-0.07000005
ctranspath,Transformer,CDH1,-0.018518507
ctranspath,Transformer,CDH1,-0.2371968
ctranspath,Transformer,CDH1,-0.0052110553
ctranspath,Transformer,CDH1,-0.032679796
ctranspath,Transformer,CDH1,-0.07111108
ctranspath,Transformer,CDH1,-0.17597997
ctranspath,Transformer,CDH1,-0.024531007
ctranspath,Transformer,CDH1,-0.090542436
ctranspath,Transformer,CDH1,-0.03387177
ctranspath,Transformer,CDH1,-0.30412686
ctranspath,Transformer,CDH1,-0.11253363
ctranspath,Transformer,CDH1,-0.0913012
ctranspath,Transformer,CDH1,-0.09423196
ctranspath,Transformer,CDH1,-0.15873682
ctranspath,Transformer,CDH1,-0.01699996
ctranspath,Transformer,CDH1,-0.0069999695
ctranspath,Transformer,CDH1,-0.19771636
ctranspath,Transformer,CDH1,-0.06461698
ctranspath,Transformer,CDH1,-0.18200004
ctranspath,Transformer,CDH1,-0.0026954412
ctranspath,Transformer,CDH1,-0.032258034
ctranspath,Transformer,CDH1,-0.023415208
ctranspath,Transformer,CDH1,-0.031999946
ctranspath,Transformer,CDH1,0.10508752
ctranspath,Transformer,CDH1,-0.03727275
ctranspath,Transformer,CDH1,0.07561731
ctranspath,Transformer,CDH1,-0.21563345
ctranspath,Transformer,CDH1,0.04273057
ctranspath,Transformer,CDH1,-0.038671017
ctranspath,Transformer,CDH1,-0.07365078
ctranspath,Transformer,CDH1,0.07673061
ctranspath,Transformer,CDH1,0.01972109
ctranspath,Transformer,CDH1,0.028238416
ctranspath,Transformer,CDH1,-0.12975514
ctranspath,Transformer,CDH1,-0.2368254
ctranspath,Transformer,CDH1,-0.048517585
ctranspath,Transformer,CDH1,-0.106398225
ctranspath,Transformer,CDH1,0.03940612
ctranspath,Transformer,CDH1,-0.054736853
ctranspath,Transformer,CDH1,-0.031999946
ctranspath,Transformer,CDH1,-0.026499987
ctranspath,Transformer,CDH1,-0.0078125
ctranspath,Transformer,lymph,0.07620317
ctranspath,Transformer,lymph,0.07869744
ctranspath,Transformer,lymph,0.10285711
ctranspath,Transformer,lymph,0.020219803
ctranspath,Transformer,lymph,-0.019704401
ctranspath,Transformer,lymph,0.0020292997
ctranspath,Transformer,lymph,0.102486014
ctranspath,Transformer,lymph,0.13219088
ctranspath,Transformer,lymph,0.068933845
ctranspath,Transformer,lymph,0.112404704
ctranspath,Transformer,lymph,0.08743626
ctranspath,Transformer,lymph,0.07566196
ctranspath,Transformer,lymph,0.08970648
ctranspath,Transformer,lymph,0.043750048
ctranspath,Transformer,lymph,0.15797985
ctranspath,Transformer,lymph,0.09375
ctranspath,Transformer,lymph,0.110753715
ctranspath,Transformer,lymph,0.0980953
ctranspath,Transformer,lymph,0.043658137
ctranspath,Transformer,lymph,0.06327987
ctranspath,Transformer,lymph,0.052543044
ctranspath,Transformer,lymph,0.0379166
ctranspath,Transformer,lymph,0.07110375
ctranspath,Transformer,lymph,0.09236461
ctranspath,Transformer,lymph,0.104175806
ctranspath,Transformer,lymph,0.13514602
ctranspath,Transformer,lymph,0.09909904
ctranspath,Transformer,lymph,0.10937494
ctranspath,Transformer,lymph,0.18272561
ctranspath,Transformer,lymph,0.09695417
ctranspath,Transformer,lymph,0.093170404
ctranspath,Transformer,lymph,0.12094152
ctranspath,Transformer,lymph,0.15083331
ctranspath,Transformer,lymph,0.1656158
ctranspath,Transformer,lymph,0.18599033
ctranspath,Transformer,lymph,0.12600648
ctranspath,Transformer,lymph,0.05608976
ctranspath,Transformer,lymph,0.11718744
ctranspath,Transformer,lymph,0.08990145
ctranspath,Transformer,lymph,0.086868644
ctranspath,Transformer,lymph,0.0713141
ctranspath,Transformer,lymph,0.073031425
ctranspath,Transformer,lymph,0.07603037
ctranspath,Transformer,lymph,0.09564859
ctranspath,Transformer,lymph,0.08827239
ctranspath,Transformer,lymph,0.12566298
ctranspath,Transformer,lymph,0.10755342
ctranspath,Transformer,lymph,0.25770307
ctranspath,Transformer,lymph,0.12418836
ctranspath,Transformer,lymph,0.09138489
ctranspath,Transformer,lymph,-0.011161923
ctranspath,Transformer,lymph,-0.052257776
ctranspath,Transformer,lymph,0.046933353
ctranspath,Transformer,lymph,-0.0053333044
ctranspath,Transformer,lymph,0.002411127
ctranspath,Transformer,lymph,0.05002427
ctranspath,Transformer,lymph,-0.0046777725
ctranspath,Transformer,lymph,0.028066516
ctranspath,Transformer,lymph,-0.01515156
ctranspath,Transformer,lymph,-0.116318524
ctranspath,Transformer,lymph,-0.027546704
ctranspath,Transformer,lymph,-0.061188877
ctranspath,Transformer,lymph,0.006775081
ctranspath,Transformer,lymph,-0.029844463
ctranspath,Transformer,lymph,-0.0027412176
ctranspath,Transformer,lymph,0.013327181
ctranspath,Transformer,lymph,-0.04313922
ctranspath,Transformer,lymph,0.020266712
ctranspath,Transformer,lymph,0.022302628
ctranspath,Transformer,lymph,0.054249644
ctranspath,Transformer,lymph,0.010133445
ctranspath,Transformer,lymph,-0.045138836
ctranspath,Transformer,lymph,-0.02766788
ctranspath,Transformer,lymph,-0.040792465
ctranspath,Transformer,lymph,-0.017543972
ctranspath,Transformer,lymph,0.0045155883
ctranspath,Transformer,lymph,0.0008790493
ctranspath,Transformer,lymph,-0.005147934
ctranspath,Transformer,lymph,0.00042450428
ctranspath,Transformer,lymph,-0.035178006
ctranspath,Transformer,lymph,0.015873075
ctranspath,Transformer,lymph,0.016084492
ctranspath,Transformer,lymph,-0.023344755
ctranspath,Transformer,lymph,0.0
ctranspath,Transformer,lymph,0.00041675568
ctranspath,Transformer,lymph,-0.02016294
ctranspath,Transformer,lymph,-0.02039826
ctranspath,Transformer,lymph,-0.0064350367
ctranspath,Transformer,lymph,0.008913398
ctranspath,Transformer,lymph,-0.03604406
ctranspath,Transformer,lymph,0.005208373
ctranspath,Transformer,lymph,0.01040417
ctranspath,Transformer,lymph,-0.008051515
ctranspath,Transformer,lymph,0.018018067
ctranspath,Transformer,lymph,0.005787492
ctranspath,Transformer,lymph,-0.011240482
ctranspath,Transformer,lymph,-0.0052524805
ctranspath,Transformer,lymph,-0.024242401
ctranspath,Transformer,lymph,-0.022135377
ctranspath,Transformer,lymph,0.0016161203
ctranspath,Transformer,lymph,0.0105698705
ctranspath,Transformer,lymph,0.005833268
ctranspath,Transformer,lymph,-0.019293904
ctranspath,Transformer,lymph,0.047595978
ctranspath,Transformer,lymph,-0.025858581
ctranspath,Transformer,lymph,-0.030833364
ctranspath,Transformer,lymph,-0.030799985
ctranspath,Transformer,lymph,0.011586428
ctranspath,Transformer,lymph,-0.01847291
ctranspath,Transformer,lymph,0.006493509
ctranspath,Transformer,lymph,-0.030815959
ctranspath,Transformer,lymph,0.0136419535
ctranspath,Transformer,lymph,-0.019761086
ctranspath,Transformer,lymph,0.008256495
ctranspath,Transformer,lymph,-0.018333316
ctranspath,Transformer,lymph,-0.043516457
ctranspath,Transformer,lymph,0.00042903423
ctranspath,Transformer,lymph,-0.01373744
ctranspath,Transformer,lymph,-0.007083297
ctranspath,Transformer,lymph,-0.03458345
ctranspath,Transformer,lymph,-0.02702701
ctranspath,Transformer,lymph,-0.03817743
ctranspath,Transformer,lymph,-0.013871312
ctranspath,Transformer,lymph,-0.044647455
ctranspath,Transformer,lymph,-0.025780201
ctranspath,Transformer,SMAD4,-0.2147606
