magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.3140096
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.24577293
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.27611113
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.29528993
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.30945823
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.27327132
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.36309522
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.35298237
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.37399995
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.45678037
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.26860118
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.3516761
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.2287234
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.36666667
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.41300005
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.20345744
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.40944445
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.18683508
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.36649656
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.26992756
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.17079896
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.2734083
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.46343538
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.19694859
