feature_extractor,model,target,auroc_diff
ctranspath,Transformer,CDH1,-0.035956144
ctranspath,Transformer,CDH1,-0.044500053
ctranspath,Transformer,CDH1,-0.046496034
ctranspath,Transformer,CDH1,-0.06332135
ctranspath,Transformer,CDH1,0.013706446
ctranspath,Transformer,CDH1,-0.081499994
ctranspath,Transformer,CDH1,-0.0066722035
ctranspath,Transformer,CDH1,-0.06545454
ctranspath,Transformer,CDH1,-0.05478388
ctranspath,Transformer,CDH1,-0.047843695
ctranspath,Transformer,CDH1,-0.08233452
ctranspath,Transformer,CDH1,-0.07189548
ctranspath,Transformer,CDH1,-0.039365053
ctranspath,Transformer,CDH1,-0.06005001
ctranspath,Transformer,CDH1,-0.11736417
ctranspath,Transformer,CDH1,-0.007619858
ctranspath,Transformer,CDH1,0.031787455
ctranspath,Transformer,CDH1,0.05904758
ctranspath,Transformer,CDH1,-0.04043132
ctranspath,Transformer,CDH1,0.010783672
ctranspath,Transformer,CDH1,-0.09708738
ctranspath,Transformer,CDH1,-0.05810535
ctranspath,Transformer,CDH1,-0.07550001
ctranspath,Transformer,CDH1,-0.031499982
ctranspath,Transformer,CDH1,-0.052283645
ctranspath,Transformer,CDH1,0.022407532
ctranspath,Transformer,CDH1,0.039000034
ctranspath,Transformer,CDH1,0.012129366
ctranspath,Transformer,CDH1,-0.015929878
ctranspath,Transformer,CDH1,-0.0005711317
ctranspath,Transformer,CDH1,-0.03249991
ctranspath,Transformer,CDH1,-0.061718106
ctranspath,Transformer,CDH1,0.05181825
ctranspath,Transformer,CDH1,0.014660478
ctranspath,Transformer,CDH1,0.10377365
ctranspath,Transformer,CDH1,-0.030745149
ctranspath,Transformer,CDH1,0.0032679439
ctranspath,Transformer,CDH1,0.034285665
ctranspath,Transformer,CDH1,0.01584655
ctranspath,Transformer,CDH1,-0.06493503
ctranspath,Transformer,CDH1,0.0013446808
ctranspath,Transformer,CDH1,0.051068306
ctranspath,Transformer,CDH1,0.097777724
ctranspath,Transformer,CDH1,0.045148253
ctranspath,Transformer,CDH1,0.11430627
ctranspath,Transformer,CDH1,0.073672235
ctranspath,Transformer,CDH1,0.08378953
ctranspath,Transformer,CDH1,0.092999935
ctranspath,Transformer,CDH1,0.044999957
ctranspath,Transformer,CDH1,0.021033645
ctranspath,Transformer,CDH1,-0.030745149
ctranspath,Transformer,CDH1,-0.034500003
ctranspath,Transformer,CDH1,-0.12129378
ctranspath,Transformer,CDH1,0.036240637
ctranspath,Transformer,CDH1,0.07709873
ctranspath,Transformer,CDH1,0.06549996
ctranspath,Transformer,CDH1,0.014178455
ctranspath,Transformer,CDH1,-0.01727283
ctranspath,Transformer,CDH1,0.07021606
ctranspath,Transformer,CDH1,-0.17318064
ctranspath,Transformer,CDH1,-0.023970902
ctranspath,Transformer,CDH1,0.005446613
ctranspath,Transformer,CDH1,-0.05015874
ctranspath,Transformer,CDH1,0.049207687
ctranspath,Transformer,CDH1,0.0836941
ctranspath,Transformer,CDH1,0.0972659
ctranspath,Transformer,CDH1,-0.029181838
ctranspath,Transformer,CDH1,-0.04571426
ctranspath,Transformer,CDH1,-0.07681948
ctranspath,Transformer,CDH1,-0.19769943
ctranspath,Transformer,CDH1,-0.1736151
ctranspath,Transformer,CDH1,-0.07578945
ctranspath,Transformer,CDH1,-0.120000005
ctranspath,Transformer,CDH1,-0.04700005
ctranspath,Transformer,CDH1,0.075721204
ctranspath,Transformer,CDH1,-0.049505055
ctranspath,Transformer,CDH1,-0.026499987
ctranspath,Transformer,CDH1,0.05929923
ctranspath,Transformer,CDH1,-0.029868603
ctranspath,Transformer,CDH1,0.008566499
ctranspath,Transformer,CDH1,0.01000005
ctranspath,Transformer,CDH1,-0.082568824
ctranspath,Transformer,CDH1,-0.047272682
ctranspath,Transformer,CDH1,0.044753134
ctranspath,Transformer,CDH1,-0.03571427
ctranspath,Transformer,CDH1,-0.02501303
ctranspath,Transformer,CDH1,0.024509788
ctranspath,Transformer,CDH1,0.0076190233
ctranspath,Transformer,CDH1,-0.05587995
ctranspath,Transformer,CDH1,-0.10245305
ctranspath,Transformer,CDH1,0.03496188
ctranspath,Transformer,CDH1,0.015112042
ctranspath,Transformer,CDH1,-0.033650756
ctranspath,Transformer,CDH1,-0.05660379
ctranspath,Transformer,CDH1,-0.012940288
ctranspath,Transformer,CDH1,0.03883481
ctranspath,Transformer,CDH1,-0.0021052957
ctranspath,Transformer,CDH1,0.029000044
ctranspath,Transformer,CDH1,0.034999967
ctranspath,Transformer,CDH1,-0.09254813
ctranspath,Transformer,CDH1,-0.005732119
ctranspath,Transformer,CDH1,-0.030499995
ctranspath,Transformer,CDH1,-0.01954174
ctranspath,Transformer,CDH1,-0.016726375
ctranspath,Transformer,CDH1,-0.026270628
ctranspath,Transformer,CDH1,-0.049000025
ctranspath,Transformer,CDH1,0.08090073
ctranspath,Transformer,CDH1,0.03363633
ctranspath,Transformer,CDH1,0.033179045
ctranspath,Transformer,CDH1,-0.0363881
ctranspath,Transformer,CDH1,0.038040638
ctranspath,Transformer,CDH1,-0.010348558
ctranspath,Transformer,CDH1,-0.046984196
ctranspath,Transformer,CDH1,0.025854826
ctranspath,Transformer,CDH1,0.019240081
ctranspath,Transformer,CDH1,-0.039892435
ctranspath,Transformer,CDH1,-0.015112042
ctranspath,Transformer,CDH1,-0.0679366
ctranspath,Transformer,CDH1,0.021563351
ctranspath,Transformer,CDH1,0.036664367
ctranspath,Transformer,CDH1,0.05139923
ctranspath,Transformer,CDH1,-0.005894661
ctranspath,Transformer,CDH1,0.021499991
ctranspath,Transformer,CDH1,0.019500017
ctranspath,Transformer,CDH1,-0.000600934
ctranspath,Transformer,lymph,0.08957213
ctranspath,Transformer,lymph,0.15784717
ctranspath,Transformer,lymph,0.06285715
ctranspath,Transformer,lymph,0.02681315
ctranspath,Transformer,lymph,0.008210182
ctranspath,Transformer,lymph,0.06798577
ctranspath,Transformer,lymph,0.09436834
ctranspath,Transformer,lymph,0.15544677
ctranspath,Transformer,lymph,0.068933845
ctranspath,Transformer,lymph,0.101967156
ctranspath,Transformer,lymph,0.098047435
ctranspath,Transformer,lymph,0.11391336
ctranspath,Transformer,lymph,0.08185202
ctranspath,Transformer,lymph,0.05458331
ctranspath,Transformer,lymph,0.14020205
ctranspath,Transformer,lymph,0.16750002
ctranspath,Transformer,lymph,0.11902577
ctranspath,Transformer,lymph,0.14761913
ctranspath,Transformer,lymph,0.08409929
ctranspath,Transformer,lymph,0.06862748
ctranspath,Transformer,lymph,0.07566202
ctranspath,Transformer,lymph,0.021666527
ctranspath,Transformer,lymph,0.10748249
ctranspath,Transformer,lymph,0.07676524
ctranspath,Transformer,lymph,0.07648349
ctranspath,Transformer,lymph,0.063717544
ctranspath,Transformer,lymph,0.083226025
ctranspath,Transformer,lymph,0.08680558
ctranspath,Transformer,lymph,0.08854157
ctranspath,Transformer,lymph,0.010725021
ctranspath,Transformer,lymph,-0.0036183596
ctranspath,Transformer,lymph,-0.06290585
ctranspath,Transformer,lymph,0.08499998
ctranspath,Transformer,lymph,0.12063891
ctranspath,Transformer,lymph,0.10668278
ctranspath,Transformer,lymph,0.046698928
ctranspath,Transformer,lymph,0.015625
ctranspath,Transformer,lymph,0.016058922
ctranspath,Transformer,lymph,0.038998365
ctranspath,Transformer,lymph,-0.00646466
ctranspath,Transformer,lymph,0.040064096
ctranspath,Transformer,lymph,0.059159577
