magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06944442
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04347828
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008333325
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.033816457
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06703398
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03316325
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.025999963
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.038690507
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0607211
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.043883026
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0138888955
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.074
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.08643618
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.018333346
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.027260631
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.15136054
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04347828
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0027547479
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.009630799
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.10034016
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.13037449
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.044534385
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.011473477
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.041062772
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.058333278
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.07669079
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0018365383
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0625
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03146255
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.033684194
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.106000066
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.057097554
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.01413691
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.065781236
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06848407
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0355556
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.056000054
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.077792525
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.053333342
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.045877695
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.05612248
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06944442
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.11845732
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.047084033
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.054421782
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04715675
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.07807982
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.071859896
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06159419
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.025000036
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.01449275
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.08539945
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.106382966
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.09098637
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.02385965
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.09500003
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.09278351
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.052083313
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.08159393
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0625
