augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15372586
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07999998
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13477087
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13898844
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.121644735
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0995
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14512098
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.122727334
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10648143
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16711587
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15997916
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09041393
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11238098
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16930777
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.2063492
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08740473
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.17196453
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.18476188
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.20619947
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.2458663
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12221587
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1136843
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12449998
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09899998
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.21754807
