augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.015096575
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12198067
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.056111127
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009057969
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03305787
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06582445
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.25850338
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.02526316
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.09200001
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.022997618
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.055803567
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.11574954
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.011968046
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.18166667
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.303
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.15026599
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.17166662
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.052526623
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06632656
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.09722218
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12764001
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.01016587
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.1445578
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.37864077
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.16078663
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.24698067
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.31642514
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.16444448
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.24456519
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.1340679
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.18417555
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.21088433
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.20280707
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.29399994
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.3275178
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.18452376
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.096141696
Macenko_patchwise,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.09707445
