train_dataset,test_dataset,target,feature_extractor,model,mean,std,ci_lo,ci_hi
tcga_brca_subtype,cptac_brca_subtype,subtype,ctranspath,Transformer,0.0068104593,0.043028474,-0.0777602344751358,0.08940735012292861
tcga_brca_subtype,cptac_brca_subtype,subtype,ctranspath,MeanAveragePooling,0.015225264,0.013048449,-0.011334833502769471,0.04154296517372131
tcga_brca_subtype,cptac_brca_subtype,subtype,ctranspath,AttentionMIL,0.009670865,0.023165198,-0.031424242258071895,0.053460544347763046
tcga_brca_subtype,cptac_brca_subtype,subtype,swin,Transformer,0.033027124,0.04668431,-0.04969476610422134,0.12664661407470704
tcga_brca_subtype,cptac_brca_subtype,subtype,swin,MeanAveragePooling,-0.002892798,0.024186995,-0.049111054837703706,0.0414593607187271
tcga_brca_subtype,cptac_brca_subtype,subtype,swin,AttentionMIL,0.018798575,0.030526958,-0.04429513663053512,0.07768046855926514
tcga_brca_subtype,cptac_brca_subtype,subtype,owkin,Transformer,-0.045530573,0.057278816,-0.17901321947574617,0.04125859290361404
tcga_brca_subtype,cptac_brca_subtype,subtype,owkin,MeanAveragePooling,0.017271906,0.03550568,-0.05537947416305542,0.08407502621412274
tcga_brca_subtype,cptac_brca_subtype,subtype,owkin,AttentionMIL,0.025370251,0.037037488,-0.05180307030677795,0.0972318261861801
tcga_brca_subtype,cptac_brca_subtype,subtype,vit,Transformer,0.042176813,0.044798072,-0.040901745855808254,0.1281828537583351
tcga_brca_subtype,cptac_brca_subtype,subtype,vit,MeanAveragePooling,-0.017976778,0.021693721,-0.06486527323722839,0.021822793781757353
tcga_brca_subtype,cptac_brca_subtype,subtype,vit,AttentionMIL,0.034779005,0.07288784,-0.09829470366239548,0.1680346980690956
tcga_brca_subtype,cptac_brca_subtype,subtype,resnet50,Transformer,0.033716176,0.049233507,-0.056170815229415895,0.13729877620935438
tcga_brca_subtype,cptac_brca_subtype,subtype,resnet50,MeanAveragePooling,0.018161763,0.02000317,-0.01994968205690384,0.06076058745384216
tcga_brca_subtype,cptac_brca_subtype,subtype,resnet50,AttentionMIL,0.031012453,0.04005315,-0.048020628094673154,0.10958197861909866
tcga_brca_subtype,cptac_brca_subtype,subtype,retccl,Transformer,-0.032706883,0.05087604,-0.12860993295907974,0.06612367630004881
tcga_brca_subtype,cptac_brca_subtype,subtype,retccl,MeanAveragePooling,0.018895082,0.012529333,-0.004203920066356659,0.044462974369525905
tcga_brca_subtype,cptac_brca_subtype,subtype,retccl,AttentionMIL,0.030062621,0.05062197,-0.04721723198890686,0.14149321466684342
tcga_brca_subtype,cptac_brca_subtype,subtype,bt,Transformer,0.003287466,0.041802827,-0.09002807885408401,0.06650389879941938
tcga_brca_subtype,cptac_brca_subtype,subtype,bt,MeanAveragePooling,0.011574088,0.056199193,-0.08951398134231567,0.1173262059688568
tcga_brca_subtype,cptac_brca_subtype,subtype,bt,AttentionMIL,-0.0070496583,0.041070707,-0.09347487986087799,0.0705326735973358
tcga_brca_subtype,cptac_brca_subtype,subtype,swav,Transformer,-0.014428106,0.07130531,-0.13300434947013856,0.12377456724643707
tcga_brca_subtype,cptac_brca_subtype,subtype,swav,MeanAveragePooling,0.008812611,0.016233293,-0.022628705203533172,0.03986628502607345
tcga_brca_subtype,cptac_brca_subtype,subtype,swav,AttentionMIL,0.0005626197,0.021486746,-0.04018906652927399,0.04664744138717651
tcga_brca_subtype,cptac_brca_subtype,subtype,dino_p16,Transformer,0.0068635745,0.032497946,-0.05596996247768402,0.06230689734220504
tcga_brca_subtype,cptac_brca_subtype,subtype,dino_p16,MeanAveragePooling,-0.017061023,0.028252698,-0.07826296091079712,0.03082264512777327
tcga_brca_subtype,cptac_brca_subtype,subtype,dino_p16,AttentionMIL,-0.02579211,0.023864806,-0.07170680016279221,0.01978122591972349
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,ctranspath,Transformer,0.032599416,0.07600352,-0.11313832700252532,0.19127645194530485
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,ctranspath,MeanAveragePooling,-0.02226201,0.03090998,-0.0850714921951294,0.035266377031803096
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,ctranspath,AttentionMIL,0.02897113,0.060727112,-0.06514470279216766,0.1792660728096962
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,swin,Transformer,0.06404252,0.07285134,-0.0557429239153862,0.23201432451605797
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,swin,MeanAveragePooling,0.032732785,0.035587993,-0.04000310897827149,0.10926324278116226
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,swin,AttentionMIL,0.038307603,0.0742133,-0.09780528545379638,0.1940330758690834
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,owkin,Transformer,0.010491081,0.06465528,-0.11344336867332458,0.14483283460140228
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,owkin,MeanAveragePooling,-0.018555652,0.047753695,-0.11538891047239304,0.06699771434068677
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,owkin,AttentionMIL,-0.028712427,0.04641731,-0.1215250164270401,0.060979014635086044
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,vit,Transformer,0.010750692,0.059775002,-0.10349233746528626,0.12438876032829282
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,vit,MeanAveragePooling,0.025704948,0.03127189,-0.032157105207443235,0.09207075834274292
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,vit,AttentionMIL,0.016792078,0.03772155,-0.06431277394294739,0.08708851039409637
