feature_extractor,,,,bt,bt,ctranspath,ctranspath,dino_p16,dino_p16,mocov2,mocov2,owkin,owkin,owkin_teacher,owkin_teacher,resnet50,resnet50,retccl,retccl,swav,swav,swin,swin,uni,uni,vit,vit,vitl,vitl,vits,vits
stats,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
magnification,augmentations,model,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,Macenko_patchwise,AttentionMIL,BRAF,0.3368326883935219,0.033687540387261045,0.11183268837857663,0.032926017154797725,0.0434151273236835,0.055143854302792464,0.05890716128211604,0.02774920635662564,0.0843725901113146,0.042183539645901776,0.0917528849112514,0.034864096790160067,0.09441250376584968,0.026239847020839178,0.223202393580286,0.025439024619006836,0.15611460022883514,0.04335152098396852,0.06489122919897804,0.054213515392116725,0.03197896294455388,0.033765810716970414,0.14115449004080796,0.0688164703145305,0.10850821547335525,0.053498918086068686,0.1325773816570519,0.03972307604327127
high,Macenko_patchwise,AttentionMIL,CDH1,0.15477852818564383,0.02630976304968322,0.10337934491219848,0.048390523326233364,0.0651155113893146,0.030079889781988365,0.1528939127643458,0.03644321962958919,0.046840214701233396,0.035973321772698824,0.02319662568145622,0.027920855860283686,0.14421316382481317,0.03861890656706778,0.12211149928166508,0.03397427232643631,0.13204867837027104,0.025933176301955425,0.10606354472270212,0.023811446540165922,0.04421315190368541,0.03654596098181673,0.05466433760696455,0.02886319994303198,0.06728570458465978,0.0303425666609416,0.02902183529907205,0.02970934556434963
high,Macenko_patchwise,AttentionMIL,KRAS,0.169034062899431,0.053430180547792624,0.060025017536976116,0.04653866791854604,0.11047550348179067,0.055525857402099525,0.09737489727864801,0.03730855762777022,0.026654165066576405,0.040579710522433844,0.03727729824909858,0.04880010994247919,0.17654154805104183,0.035342883246541404,0.13660163191686628,0.02614008139738666,0.0909935047997018,0.02413030045809903,0.17789291647628,0.09580948804132068,0.0821722081078102,0.05493704002157008,0.08307312039266777,0.05672494925719584,0.11479231622568481,0.03932778877067219,0.16539291647864143,0.04330462595571575
high,Macenko_patchwise,AttentionMIL,MSI,0.34822691883310036,0.02905023434382307,0.07050054277877464,0.041866631834894225,0.03963637556533689,0.03960115417389662,0.09966724123592896,0.036837657019511444,0.06278449501495008,0.04368287521876792,0.038916172642522805,0.0267764458204629,0.2527536651070808,0.03811694157930576,0.1693688889955016,0.07102536446913615,0.15223925318209422,0.021467757536353407,0.08593266214828792,0.04186313098827197,0.01777421440582087,0.02333060242154548,0.08922484125613352,0.03339928030847637,0.14087090697017282,0.04119694985061192,0.11849436964746879,0.03716119049998269
high,Macenko_patchwise,AttentionMIL,PIK3CA,0.1554492762008489,0.02010280928369312,0.06322069667965213,0.017201859675074906,0.0512492825904367,0.022632911559464237,0.04493500494150953,0.01994465136822432,0.06993500494149794,0.02371329630101824,0.05042069458155277,0.02923755389831144,0.045735042325541375,0.04751290899377592,0.0605921556869017,0.02002633229128717,0.05939214729456724,0.04819976580012548,0.0335921456733243,0.018360208932285658,0.029049282304333058,0.02098114218116965,0.040963583222912096,0.01901385893359075,0.03316357635645496,0.03524384668587007,0.0650492718139125,0.02138953707073209
high,Macenko_patchwise,AttentionMIL,SMAD4,0.05021707677025324,0.036680900629143864,0.028838190070570025,0.022572249617208193,0.07760482691901668,0.05667505351554881,0.046675023070756064,0.02074721694152127,0.0488255586542467,0.03231060744668406,0.031241735450205064,0.031403841972954885,0.19645363949929964,0.10803067571479834,0.04996409081596157,0.028961011553290394,0.04553649090903905,0.022690389925914142,0.1130886878885601,0.07108040309683131,0.09727590941566369,0.046323386256349644,0.06425884627479894,0.05188544466912959,0.1287749495381413,0.04049174633537817,0.18823098801641747,0.03485037133690137
high,Macenko_patchwise,AttentionMIL,TP53,0.10046016454694871,0.09325215961120459,0.03295171737670906,0.024334001215934518,0.058681242465972526,0.02501348994598037,0.05671715021133397,0.022142636709166878,0.11996069431280529,0.0426847848797323,0.08460717678069721,0.03158888142772366,0.21979239464035827,0.024689804644249216,0.14855214834198252,0.03088520388881528,0.09336139440551008,0.03898010124684186,0.20952300310197491,0.042641932648389,0.003237943649291629,0.010089793421197184,0.14552189588540074,0.02825029442237048,0.18836700201073095,0.06280927835199514,0.18502806901902485,0.03551736247499989
high,Macenko_patchwise,AttentionMIL,lymph,0.5161424365094293,0.10623357481374139,0.10274686479524672,0.06902405616926442,0.06925644540786843,0.03873376890745103,0.08320914173127168,0.037868732954216375,0.051142581939697854,0.04788109918448864,0.07083016300201225,0.07108694983759545,0.14726819658338736,0.0999096727817056,0.15451097154681548,0.05852422490294471,0.11447827482229976,0.042287775115330446,0.190222772598657,0.07700975435740187,0.014797314643859756,0.020474845103484452,0.18405693435723827,0.07037053149841593,0.14706275129399488,0.10043016339177797,0.24704191350407217,0.08928244469757103
