model,,,,AttentionMIL,AttentionMIL,MeanAveragePooling,MeanAveragePooling,Transformer,Transformer
stats,,,,mean,std,mean,std,mean,std
magnification,augmentations,feature_extractor,target,,,,,,
high,Macenko_patchwise,bt,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,bt,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,bt,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,bt,MSI,0.0,0.0,,,,
high,Macenko_patchwise,bt,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,bt,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,bt,TP53,0.0,0.0,,,,
high,Macenko_patchwise,bt,lymph,0.0,0.0,,,,
high,Macenko_patchwise,bt,subtype,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,MSI,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,TP53,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,lymph,0.0,0.0,,,,
high,Macenko_patchwise,ctranspath,subtype,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,MSI,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,TP53,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,lymph,0.0,0.0,,,,
high,Macenko_patchwise,dino_p16,subtype,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,MSI,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,TP53,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,lymph,0.0,0.0,,,,
high,Macenko_patchwise,mocov2,subtype,0.0,0.0,,,,
high,Macenko_patchwise,owkin,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,owkin,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,owkin,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,owkin,MSI,0.0,0.0,,,,
high,Macenko_patchwise,owkin,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,owkin,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,owkin,TP53,0.0,0.0,,,,
high,Macenko_patchwise,owkin,lymph,0.0,0.0,,,,
high,Macenko_patchwise,owkin,subtype,0.0,0.0,,,,
high,Macenko_patchwise,owkin_teacher,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,owkin_teacher,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,owkin_teacher,KRAS,0.0,0.0,,,,
