target,,CDH1,CDH1,MSI,MSI,PIK3CA,PIK3CA,TP53,TP53,subtype,subtype
stats,,mean,std,mean,std,mean,std,mean,std,mean,std
model,feature_extractor,,,,,,,,,,
AttentionMIL,bt,0.06452308626174554,0.03514460968308462,0.27713993549350274,0.13313636488119643,0.12980112934113525,0.03682975734207067,0.016759148979187486,0.014204285305161612,0.12945582866668845,0.03214338362488238
AttentionMIL,ctranspath,0.00649913282394418,0.012454665587129845,0.08398151159286565,0.030418102189722903,0.04411545896530177,0.03170907655450363,0.012438169860840785,0.012594663037323527,0.0,0.0
AttentionMIL,dino_p16,0.03425469131469573,0.034876572580925094,0.0012139892578125432,0.00476622879137969,0.0216297378540034,0.029525881258191153,0.027814129734039468,0.024693005962384537,0.07947163581847613,0.027152498876057335
AttentionMIL,owkin,0.08942317695618295,0.022735955745021217,0.06474282503128327,0.043848816436098136,0.09225828552245863,0.0332783125320867,0.09484557285309217,0.03096082556001185,0.0924028754234308,0.021613510095330028
AttentionMIL,resnet50,0.08782407970428727,0.0389828602822029,0.2202469086646961,0.04251614555620436,0.013601135253906495,0.01929972180264462,0.10937980785370023,0.030759506756594338,0.1489872694015625,0.025604053963427017
AttentionMIL,retccl,0.0375671002387986,0.01697028710793118,0.0815123295783987,0.03455785452198754,0.04925827884673867,0.030994139276756254,0.03547408952713003,0.028320509659818395,0.06506212949752932,0.031917194448648746
AttentionMIL,swav,0.06429466934204509,0.030172827637877615,0.10265431165694851,0.03383150586176322,0.12520115280150543,0.06085703838714584,0.05806109085082882,0.0248750897987057,0.0627737879753079,0.022717065608653095
AttentionMIL,swin,0.16840660305022256,0.025006264636936334,0.17662551164627127,0.043431304547947,0.06557258272170466,0.03633260364665519,0.2778421916007954,0.022148192632992305,0.07081514596939589,0.02335569936365568
AttentionMIL,vit,0.11066816778183121,0.019651973087659185,0.14689299821852642,0.03420142674025677,0.07414402866363563,0.03136800659407893,0.1526177443504277,0.03169139353078493,0.08136328458786016,0.04491587578351095
MeanAveragePooling,bt,0.035422046661375876,0.0069284770234261965,0.08015845680236362,0.019227232712116685,0.07227200708389019,0.01751796469100432,0.05780709777831752,0.037244665798040026,0.06147435903549353,0.027820681421115608
MeanAveragePooling,ctranspath,0.03804912137985168,0.018305036254381693,0.03062139415740884,0.0218078867980921,0.0020434423446655113,0.0058904632194694126,0.02222909723281676,0.02183022850516031,0.0,0.0
MeanAveragePooling,dino_p16,0.03873444366454926,0.022498085803850366,0.0016604986190795386,0.004788931207253436,0.04775771341323877,0.025836298753159858,0.014597223148346121,0.018391358816618367,0.07763124704360663,0.012866400919430344
MeanAveragePooling,owkin,0.040447743415829164,0.025983905625189693,0.07136215829849298,0.03456871985308926,0.05675768098831233,0.029392309100862827,0.13317186628341568,0.029805183106410303,0.1073551177978532,0.019085873657644387
MeanAveragePooling,resnet50,0.0008132534027099319,0.0028997404980690383,0.2154464926719536,0.029804334793023073,0.0336434408187859,0.016535451341188393,0.09184186254501592,0.019898716206857858,0.07653198242187138,0.0068053703217721044
MeanAveragePooling,retccl,0.028111942291260954,0.008832339064042486,0.09955147171020248,0.041939915955992425,0.06410057983398477,0.018411693998428316,0.06266121660232608,0.023405170371566877,0.009429562091827897,0.003414776810781243
MeanAveragePooling,swav,0.029025705337523862,0.015807567269506488,0.05330661201477008,0.016428544892751362,0.10941486797332996,0.01662669978237296,0.042318866596220896,0.024876781463757956,0.06715824604034237,0.003047077666361283
MeanAveragePooling,swin,0.10001370477676105,0.03729058814972402,0.17321400308610002,0.024997534996319043,0.05167202196120983,0.02195401744704856,0.1286544660186817,0.04515438509549338,0.08420768976211583,0.007951048995760851
MeanAveragePooling,vit,0.07402857112883907,0.010716946422333843,0.14697945976258667,0.019844893834600908,0.08504342279433853,0.017066960499047927,0.06588791404724015,0.022780388776280237,0.06610077619552217,0.009665284235549439
Transformer,bt,0.04816059158707008,0.02594266196954359,0.022388416290283625,0.019764700788644923,0.09994799071235125,0.04192595589856737,0.020843537330626903,0.020753158005353847,0.039197649261472144,0.026620926985198398
Transformer,ctranspath,0.013037791713714744,0.016321929074261356,0.02315999841690158,0.019838420218844313,0.07969083362502948,0.07003060998080292,0.0256695942878712,0.029098442962152266,0.010366322299956952,0.017336239885825607
Transformer,dino_p16,0.06198126362228454,0.026514070762621533,0.00834516859054536,0.014051153378180437,0.017090852793886085,0.018245695227923475,0.028924341678620038,0.0216092568568611,0.03777322938155928,0.033803495644322154
