magnification,target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,wandb_id,train_auroc,val_auroc,test_auroc,runtime
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,0,mq0dl184,0.8529411554336548,0.8217672109603882,0.6379212141036987,2576.5575437545776
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,1,85xat7xp,0.7228026986122131,0.7991379499435425,0.6442033052444458,1425.035161972046
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,2,ot6eytnc,0.8508270382881165,0.8088362216949463,0.6704740524291992,2418.000115633011
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,3,tagtdmo1,0.8062292337417603,0.8043103218078613,0.6607652902603149,1775.992069721222
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,Macenko_patchwise,4,1mekketl,0.8180612921714783,0.8075430393218994,0.6499143838882446,2375.5375261306763
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,0,lwkyjx4m,0.826467752456665,0.7939654588699341,0.680182695388794,240896.17906856537
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,1,wwbcjal4,0.8515723943710327,0.8170258402824402,0.6716161966323853,181184.8935034275
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,2,2c1wvzmk,0.5856696367263794,0.793749988079071,0.6516276597976685,199798.66483092308
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,3,hnm0hamj,0.8031332492828369,0.8099137544631958,0.6750428676605225,59823.381472826
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,bt,none,4,fvh3kr0k,0.8327170014381409,0.8230603933334351,0.6521987915039062,324966.109965086
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,0,b1759ihz,0.8810772895812988,0.8324353694915771,0.7532838582992554,1237.3634250164032
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,1,20ek1g8y,0.8902146816253662,0.8214439749717712,0.7173044085502625,1272.7686364650726
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,2,xirzoiyh,0.8084150552749634,0.7557111978530884,0.7190176844596863,12480.956654787064
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,3,5dba10fk,0.9107255935668944,0.8353448510169983,0.6259280443191528,1446.728264093399
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,Macenko_patchwise,4,jiiy236h,0.84375,0.8061422109603882,0.7047401666641235,1063.0730299949646
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,0,sxnlqlux,0.8450363874435425,0.7810344696044922,0.7207310199737549,3396.9537789821625
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,1,0dx390wh,0.8513932228088379,0.8363146185874939,0.7164477109909058,11224.25737452507
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,2,9giblgkt,0.8029253482818604,0.7762930989265442,0.6199314594268799,36657.22880887985
